WORD,WORDDEF
pinch,a sudden unforeseen crisis (usually involving danger) that requires immediate action
pine,straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus
pinion,any of the larger wing or tail feathers of a bird
pinioned,(of birds) especially having the flight feathers
pinnacle,"the highest level or degree attainable, the highest stage of development"
pious,having or showing or expressing reverence for a deity
piquant,having an agreeably pungent taste
pique,tightly woven fabric with raised cords
piscatorial,relating to or characteristic of the activity of fishing
pith,the choicest or most essential or most vital part of some idea or experience
pithy,concise and full of meaning
pittance,an inadequate payment
pity,a feeling of sympathy and sorrow for the misfortunes of others
pivotal,being of crucial importance
placate,"cause to be more favorably inclined, gain the good will of"
placebo,"an innocuous or inert medication, given as a pacifier or to the control group in experiments on the efficacy of a drug"
placid,not easily irritated
plagiarism,"the act of plagiarizing, taking someone's words or ideas as if they were your own"
plagiarize,"take without referencing from someone else's writing or speech, of intellectual property"
plaintive,expressing sorrow
plangent,loud and resounding
plasticity,"the property of being physically malleable, the property of something that can be worked or hammered or shaped without breaking"
plateau,a relatively flat highland
platitude,a trite or obvious remark
platonic,Of or relating to the philosophical views of Plato and his successors.
plauditory,"Applauding, commending."
plausible,"apparently reasonable and valid, and truthful"
plea,an answer indicating why a suit should be dismissed
plebeian,one of the common people
plebiscite,a vote by the electorate determining public opinion on a question of national importance
plenary,full in all respects
plenipotentiary,a diplomat who is fully authorized to represent his or her government
plenitude,a full supply
plethora,extreme excess
pliable,able to adjust readily to different conditions
plight,promise solemnly and formally
pluck,sell something to or obtain something from by energetic and especially underhanded activity
plumb,weight with lead
plump,straight down especially heavily or abruptly
plunder,goods or money obtained illegally
pluralism,the practice of one person holding more than one benefice at a time
podiatrist,a specialist in care for the feet
podium,a platform raised above the surrounding level to give prominence to the person on it
poignant,arousing affect
polarize,become polarized in a conflict or contrasting situation
polemic,of or involving dispute or controversy
polemical,of or involving dispute or controversy
politic,"marked by artful prudence expedience, and shrewdness"
politics,the opinion you hold with respect to political questions
polity,shrewd or crafty management of public affairs
pollute,make impure
poltroon,characterized by complete cowardliness
polyandry,having more than one husband at a time
polygamist,someone who is married to two or more people at the same time
polygamy,having more than one spouse at a time
polyglot,having a command of or composed in many languages
polygon,a closed plane figure bounded by straight sides
polytheism,belief in multiple Gods
pommel,an ornament in the shape of a ball on the hilt of a sword or dagger
pomposity,lack of elegance as a consequence of being pompous and puffed up with vanity
ponder,reflect deeply on a subject
ponderous,having great mass and weight and unwieldiness
pontificate,talk in a dogmatic and pompous manner
populous,densely populated
porous,able to absorb fluids
porphyry,any igneous rock with crystals embedded in a finer groundmass of minerals
portable,of a motor designed to be attached to the outside of a boat's hull
portend,indicate by signs
portent,a sign of something about to happen
portentous,of momentous or ominous significance
portly,euphemisms for `fat'
posterity,all of the offspring of a given progenitor
posthumous,occurring or coming into existence after a person's death
postlude,a voluntary played at the end of a religious service
postmortem,Occurring or done after death.
postnatal,occurring immediately after birth
postpone,hold back to a later time
postprandial,following a meal (especially dinner)
postscript,a note appended to a letter after the signature
postulate,(logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
posture,capability in terms of personnel and materiel that affect the capacity to fight a war
potable,any liquid suitable for drinking
potent,having or wielding force or authority
potentate,a ruler who is unconstrained by law
potential,the inherent capacity for coming into being
potion,a medicinal or magical or poisonous beverage
potpourri,a musical composition consisting of a series of songs or other musical pieces from various sources
poultice,a medical dressing consisting of a soft heated mass of meal or clay that is spread on a cloth and applied to the skin to treat inflamed areas or improve circulation etc.
practicable,capable of being done with means at hand and circumstances as they are
practical,having or put to a practical purpose or use
pragmatic,concerned with practical matters
pragmatist,a person who takes a practical approach to problems and is concerned primarily with the success or failure of her actions
prank,dress or decorate showily or gaudily
prate,speak (about unimportant matters) rapidly and incessantly
prattle,speak (about unimportant matters) rapidly and incessantly
preamble,make a preliminary introduction usually to a formal document
precarious,affording no ease or reassurance
precaution,a precautionary measure warding off impending danger or damage or injury etc.
precede,"be earlier in time, go back further"
precedent,an example that is used to justify similar occurrences at a later time
precept,rule of personal conduct
precinct,a district of a city or town marked out for administrative purposes
preciosity,the quality of being fastidious or excessively refined
precipice,a very steep cliff
precipitate,fall from clouds
precipitous,done with very great haste and without due deliberation
precise,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth , strictly correct"
precisely,in a precise manner
preclude,make impossible especially beforehand
precocious,characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude)
precursor,something that precedes and indicates the approach of something or someone
precursory,warning of future misfortune
predatory,characterized by plundering or pillaging or marauding
predecessor,one who precedes you in time (as in holding a position or office)
predestine,foreordain by divine will or decree
predicament,a situation from which extrication is difficult especially an unpleasant or trying one
predicate,"involve as a necessary condition of consequence, as in logic"
predict,indicate by signs
predilection,a predisposition in favor of something
predispose,make susceptible
predominant,most frequent or common
preeminent,"Superior to or notable above all others, outstanding. See Synonyms at dominant, noted."
preempt,a high bid that is intended to prevent the opposing players from bidding
preen,clean with one's bill
prefabricate,produce synthetically artificially or stereotypically and unoriginally
prefatory,serving as an introduction or preface
preferential,manifesting partiality
preferment,the act of preferring
pregnant,filled with or attended with
prehensile,adapted for grasping especially by wrapping around an object
prejudiced,emanating from a person's emotions and prejudices
preliminary,"denoting an action or event preceding or in preparation for something more important, designed to orient or acquaint with a situation before proceeding"
prelude,play as a prelude
premature,uncommonly early or before the expected time
premeditate,consider ponder or plan (an action) beforehand
premeditated,characterized by deliberate purpose and some degree of planning
premise,set forth beforehand often as an explanation
premonition,an early warning about a future event
premonitory,warning of future misfortune
preoccupy,engage or engross the interest or attention of beforehand or occupy urgently or obsessively
preordain,foreordain or determine beforehand
preponderance,"exceeding in heaviness, having greater weight"
preponderant,having superior power and influence
preponderate,weigh more heavily
prepossess,cause to be preoccupied
prepossessing,creating a favorable impression
preposterous,"incongruous,inviting ridicule"
prerequisite,something that is required in advance
prerogative,a right reserved exclusively by a particular person or group (especially a hereditary or official right)
presage,a foreboding about what is about to happen
prescience,the power to foresee the future
prescribe,issue commands or orders for
presentiment,a feeling of evil to come
preside,act as president
press,make strenuous pushing movements during birth to expel the baby
prestige,a high standing achieved through success or influence or wealth etc.
prestigious,"having an illustrious reputation, respected"
presumably,by reasonable assumption
presume,"take upon oneself, act presumptuously, without permission"
presumption,an assumption that is taken for granted
presumptuous,excessively forward
presuppose,require as a necessary antecedent or precondition
pretentious,making claim to or creating an appearance of (often undeserved) importance or distinction
preternatural,surpassing the ordinary or normal
pretext,an artful or simulated semblance
prevail,continue to exist
prevalent,most frequent or common
prevaricate,be deliberately ambiguous or unclear in order to mislead or withhold information
prevarication,a statement that deviates from or perverts the truth
preview,watch (a movie or play) before it is released to the general public
prevision,"seeing ahead, knowing in advance, foreseeing"
prim,exaggeratedly proper
primal,serving as an essential component
primogeniture,right of inheritance belongs exclusively to the eldest son
primordial,"having existed from the beginning, in an earliest or original stage or state"
primp,dress or groom with elaborate care
prior,earlier in time
pristine,immaculately clean and unused
privation,act of depriving someone of food or money or rights
privy,a room or building equipped with one or more toilets
probe,an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity
probity,"complete and confirmed integrity, having strong moral principles"
problematic,"making great mental demands, hard to comprehend or solve or believe"
proboscis,a long flexible snout as of an elephant
proceed,follow a certain course
proclaim,affirm or declare as an attribute or quality of
proclivity,a natural inclination
procrastinate,postpone or delay needlessly
procure,arrange for sexual partners for others
prod,"urge on, cause to act"
prodigal,recklessly wasteful
prodigality,excessive spending
prodigious,far beyond what is usual in magnitude or degree
prodigy,a sign of something about to happen
profane,not holy because unconsecrated or impure or defiled
profess,state freely
proffer,present for acceptance or rejection
proficient,of or relating to technique or proficiency in a practical skill
profligacy,the trait of spending extravagantly
profligate,recklessly wasteful
profound,far-reaching and thoroughgoing in effect especially on the nature of something
profundity,the quality of being physically deep
profuse,produced or growing in extreme abundance
profusion,the property of being extremely abundant
progenitor,an ancestor in the direct line
progeny,the immediate descendants of a person
prognathous,having a projecting lower jaw
prognosis,a prediction about how something (as the weather) will develop
prognosticate,indicate by signs
projectile,any vehicle self-propelled by a rocket engine
proletarian,a member of the working class (not necessarily employed)
proletariat,a social class comprising those who do manual labor or work for wages
proliferate,grow rapidly
prolific,intellectually productive
prolix,tediously prolonged or tending to speak or write at great length
prolixity,boring verbosity
prologue,an introduction to a play
prolong,lengthen or extend in duration or space
promenade,take a leisurely walk
prominent,having a quality that thrusts itself into attention
promiscuous,casual and unrestrained in sexual behavior
promontory,a natural elevation (especially a rocky one that juts out into the sea)
prompt,"according to schedule or without delay, on time"
promulgate,state or announce
prone,lying face downward
prop,a support placed beneath or against something to keep it from shaking or falling
propagate,cause to propagate as by grafting or layering
propagation,the movement of a wave through a medium
propellants,Plural form of propellant
propensity,a disposition to behave in a certain way
prophylactic,warding off
propinquity,the property of being close together
propitiate,make peace with
propitious,"presenting favorable circumstances, likely to result in or show signs of success"
proponent,a person who pleads for a cause or propounds an idea
propound,"put forward, as of an idea"
proprietary,"protected by trademark or patent or copyright, made or produced or distributed by one having exclusive rights"
proprietor,(law) someone who owns (is legal possessor of) a business
propriety,correct or appropriate behavior
propulsive,tending to or capable of propelling
prorogue,hold back to a later time
prosaic,"not challenging, dull and lacking excitement"
proscenium,the part of a modern theater stage between the curtain and the orchestra (i.e. in front of the curtain)
proscribe,command against
prosecute,"carry out or participate in an activity, be involved in"
proselytize,convert to another faith or religion
prosody,(prosody) a system of versification
prosper,"make steady progress, be at the high point in one's career or reach a high point in historical significance or importance"
prostrate,"get into a prostrate position, as in submission"
protagonist,the principal character in a work of fiction
protean,taking on different forms
protege,A person guided and protected by a more prominent person.
protocol,forms of ceremony and etiquette observed by diplomats and heads of state
protoplasm,the substance of a living cell (including cytoplasm and nucleus)
prototype,a standard or typical example
protract,"lengthen in time, cause to be or last longer"
protrude,swell or protrude outwards
provenance,where something originated or was nurtured in its early existence
provender,food for domestic livestock
provident,careful in regard to your own interests
provincial,a country person
provisional,under terms not final or fully worked out or agreed upon
proviso,a stipulated condition
provocation,needed encouragement
provocative,exciting sexual desire
provoke,annoy continually or chronically
prowess,a superior skill that you can learn by study and practice and observation
proximity,a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit
proxy,a power of attorney document given by shareholders of a corporation authorizing a specific vote on their behalf at a corporate meeting
prude,a person excessively concerned about propriety and decorum
prudent,"careful and sensible, marked by sound judgment"
prune,dried plum
prurient,characterized by lust
pseudograph,A graph that contain loops as well as multiple edges between vertices
pseudologist,"One who utters falsehoods, a liar."
pseudomorph,A false deceptive or irregular form.
pseudonym,a fictitious name used when the person performs a particular social role
pseudopodium,temporary outgrowth used by some microorganisms as an organ of feeding or locomotion
pseudoscience,an activity resembling science but based on fallacious assumptions
psyche,"that which is responsible for one's thoughts and feelings, the seat of the faculty of reason"
psychedelic,producing distorted sensory perceptions and feelings or altered states of awareness or sometimes states resembling psychosis
psychiatrist,a physician who specializes in psychiatry
psychology,the science of mental life
psychopath,"someone with a sociopathic personality, a person with an antisocial personality disorder (`psychopath' was once widely used but has now been superseded by `sociopath')"
psychopathic,suffering from an undiagnosed mental disorder
psychosis,any severe mental disorder in which contact with reality is lost or highly distorted
pterodactyl,extinct flying reptile
puerile,of or characteristic of a child
pugilist,someone who fights with his fists for sport
pugnacious,tough and callous by virtue of experience
puissance,power to influence or coerce
puissant,powerful
pulchritude,physical beauty (especially of a woman)
pull through,bring into safety
pulmonary,relating to or affecting the lungs
pulsate,"expand and contract rhythmically, beat rhythmically"
pulverize,destroy completely
pummel,strike usually with the fist
punctilious,marked by precise accordance with details
pundit,someone who has been admitted to membership in a scholarly field
pungency,wit having a sharp and caustic quality
pungent,strong and sharp
punitive,inflicting punishment
puny,inferior in strength or significance
purblind,having greatly reduced vision
purchase,the acquisition of something for payment
purgatory,(theology) in Roman Catholic theology the place where those who have died in a state of grace undergo limited torment to expiate their sins
purge,clear of a charge
purify,make pure or free from sin or guilt
puritanical,exaggeratedly proper
purloin,make off with belongings of others
purport,the intended meaning of a communication
purported,"Assumed to be such, supposed:  the purported author of the story."
purveyor,someone who supplies provisions (especially food)
purview,the range of interest or activity that can be anticipated
pusillanimous,"lacking in courage and manly strength and resolution, contemptibly fearful"
put off,To procrastinate
put up with,"to tolerate, suffer through, or allow, especially something annoying"
putative,"purported, commonly put forth or accepted as true on inconclusive grounds"
putrid,morally corrupt or evil
pyromaniac,a person with a mania for setting things on fire
quack,an untrained person who pretends to be a physician and who dispenses medical advice
quadrangle,a four-sided polygon
quadruped,having four feet
quadruple,increase fourfold
quaff,a hearty draft
quagmire,a soft wet area of low-lying land that sinks underfoot
quail,"flesh of quail, suitable for roasting or broiling if young, otherwise must be braised"
quaint,attractively old-fashioned (but not necessarily authentic)
qualified,"limited or restricted, not absolute"
qualify,make fit or prepared
qualitative,involving distinctions based on qualities
qualm,uneasiness about the fitness of an action
qualms,Plural form of qualm
quandary,state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
quarantine,isolation to prevent the spread of infectious disease
quasi,having some resemblance
quay,wharf usually built parallel to the shoreline
queasy,causing or able to cause nausea
quell,overcome or allay
querulous,habitually complaining
query,an instance of questioning
quest,search the trail of (game)
queue,a line of people or vehicles waiting for something
qui vive,condition of heightened watchfulness or preparation for action
quibble,evade the truth of a point or question by raising irrelevant objections
quiescence,a state of quiet (but possibly temporary) inaction
quiescent,(pathology) causing no symptoms
quietude,a state of peace and quiet
quintessence,"the fifth and highest element after air and earth and fire and water, was believed to be the substance composing all heavenly bodies"
quintessential,representing the perfect example of a class or quality
quip,a witty saying
quirk,a strange attitude or habit
quixotic,"not sensible about practical matters, idealistic and unrealistic"
quizzical,perplexed (as if being expected to know something that you do not know)
quorum,a gathering of the minimal number of members of an organization to conduct business
quotidian,found in the ordinary course of events
rabid,marked by excessive enthusiasm for and intense devotion to a cause or idea
racist,based on racial intolerance
raconteur,a person skilled in telling anecdotes
radiant,radiating or as if radiating light
radiate,send out rays or waves
ragamuffin,a dirty shabbily clothed urchin
rail,short for railway
raiment,especially fine or decorative clothing
rakish,marked by a carefree unconventionality or disreputableness
ramble,continue talking or writing in a desultory manner
ramification,a development that complicates a situation
ramify,divide into two or more branches so as to form a fork
ramp,creep up -- used especially of plants
rampant,rearing on left hind leg with forelegs elevated and head usually in profile
rampart,an embankment built around a space for defensive purposes
ramshackle,in deplorable condition
rancid,(used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition
rancor,a feeling of deep and bitter anger and ill-will
randomize,arrange in random order
rankle,"gnaw into, make resentful or angry"
rant,pompous or pretentious talk or writing
rapacious,excessively greedy and grasping
rapport,a relationship of mutual understanding or trust and agreement between people
rapprochement,the reestablishing of cordial relations
rapture,a state of elated bliss
rarefied,having low density
rarefy,lessen the density or solidity of
rash,marked by defiant disregard for danger or consequences
raspy,unpleasantly harsh or grating in sound
ratify,"approve and express assent, responsibility, or obligation"
ratiocination,logical and methodical reasoning
rationale,(law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature)
rationalization,(mathematics) the simplification of an expression or equation by eliminating radicals without changing the value of the expression or the roots of the equation
rationalize,"think rationally, employ logic or reason"
raucous,"disturbing the public peace, loud and rough"
ravage,cause extensive destruction or ruin utterly
rave,a dance party that lasts all night and electronically synthesized music is played
ravening,devouring or craving food in great quantities
ravenous,devouring or craving food in great quantities
raze,tear down so as to make flat with the ground
reactant,a chemical substance that is present at the start of a chemical reaction
reactionary,extremely conservative
realm,a domain in which something is dominant
rebate,cut a rebate in (timber or stone)
rebuff,an instance of driving away or warding off
rebuke,censure severely or angrily
rebut,prove to be false or incorrect
rebuttal,(law) a pleading by the defendant in reply to a plaintiff's surrejoinder
recalcitrant,marked by stubborn resistance to authority
recant,"formally reject or disavow a formerly held belief, usually under pressure"
recapitulate,repeat an earlier theme of a composition
recede,become faint or more distant
receptive,open to arguments ideas or change
recession,the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
recherche,"Exquisite, lavishly elegant and refined."
recidivism,habitual relapse into crime
recipe,directions for making something
recipient,a person who receives something
reciprocal,of or relating to the multiplicative inverse of a quantity or function
reciprocate,"act, feel, or give mutually or in return"
recite,recite in elocution
reckless,marked by defiant disregard for danger or consequences
reclaim,claim back
recluse,"withdrawn from society, seeking solitude"
reclusive,providing privacy or seclusion
recollection,the process of remembering (especially the process of recovering information by mental effort)
recompense,"make payment to, compensate"
reconcile,accept as inevitable
recondite,"difficult to penetrate, incomprehensible to one of ordinary understanding or knowledge"
reconnaissance,the act of reconnoitring (especially to gain information about an enemy or potential enemy)
recourse,something or someone turned to for assistance or security
recreant,an abject coward
recrimination,mutual accusations
recrudescence,a return of something after a period of abatement
rectify,set straight or right
rectitude,righteousness as a consequence of being honorable and honest
recumbent,"lying down, in a position of comfort or rest"
recuperate,get over an illness or shock
recurrent,recurring again and again
recusant,(of Catholics) refusing to attend services of the Church of England
redeem,restore the honor or worth of
redolent,serving to bring to mind
redoubtable,worthy of respect or honor
redress,act of correcting an error or a fault or an evil
redundant,repetition of same sense in different words
reek,give off smoke fumes warm vapour steam etc.
refection,a light meal or repast
refectory,a communal dining-hall (usually in a monastery)
referee,someone who reads manuscripts and judges their suitability for publication
referendum,a legislative act is referred for final approval to a popular vote by the electorate
refined,showing a high degree of refinement and the assurance that comes from wide social experience
reflect,be bright by reflecting or casting light
refraction,the change in direction of a propagating wave (light or sound) when passing from one medium to another
refractory,temporarily unresponsive or not fully responsive to nervous or sexual stimuli
refugee,an exile who flees for safety
refulgent,radiating or as if radiating light
refurbish,make brighter and prettier
refutation,the act of determining that something is false
refute,prove to be false or incorrect
regal,belonging to or befitting a supreme ruler
regale,provide with choice or abundant food or drink
regatta,a meeting for boat races
regeneration,feedback in phase with (augmenting) the input
regicide,"someone who commits regicide, the killer of a king"
regime,A form of government:  a fascist regime.
regimen,(medicine) a systematic plan for therapy (often including diet)
rehabilitate,restore to a state of good condition or operation
rehearse,engage in a rehearsal (of)
reimburse,"reimburse or compensate (someone), as for a loss"
reinforce,strengthen and support with rewards
reiterate,to say state or perform again
rejuvenate,"return to life, get or give new life or energy"
relapse,deteriorate in health
relegate,"expel, as if by official decree"
relentless,not to be placated or appeased or moved by entreaty
relevance,the relation of something to the matter at hand
relevancy,the relation of something to the matter at hand
relevant,having a bearing on or connection with the subject at issue
reliable,conforming to fact and therefore worthy of belief
relinquish,"release, as from one's grip"
relish,the taste experience when a savoury condiment is taken into the mouth
reluctant,unwillingness to do something contrary to your custom
remand,the act of sending an accused person back into custody to await trial (or the continuation of the trial)
remediable,capable of being remedied or redressed
remedial,tending to cure or restore to health
reminisce,recall the past
reminiscence,a mental impression retained and recalled from the past
reminiscent,serving to bring to mind
remiss,failing in what duty requires
remission,a payment of money sent to a person in another place
remit,refer (a matter or legal case) to another committee or authority or court for decision
remnant,a piece of cloth that is left over after the rest has been used or sold
remonstrate,argue in protest or opposition
remorse,a feeling of deep regret (usually for some misdeed)
remuneration,something that remunerates
remunerative,producing a sizeable profit
renaissance,A rebirth or revival.
renascence,"the period of European history at the close of the Middle Ages and the rise of the modern world, a cultural rebirth from the 14th through the middle of the 17th centuries"
rend,tear or be torn violently
render,pass down
rendezvous,a place where people meet
rendition,handing over prisoners to countries where torture is allowed
renegade,having deserted a cause or principle
renege,fail to fulfill a promise or obligation
renounce,"give up, such as power, as of monarchs and emperors, or duties and obligations"
renovate,give new life or energy to
renowned,widely known and esteemed
rent,"a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service"
renunciation,"the act of renouncing, sacrificing or giving up or surrendering (a possession or right or title or privilege etc.)"
reparable,capable of being repaired or rectified
reparation,(usually plural) compensation exacted from a defeated nation by the victors
repartee,adroitness and cleverness in reply
repel,fill with distaste
repellent,"highly offensive, arousing aversion or disgust"
repercussion,a movement back from an impact
repertoire,the entire range of skills or aptitudes or devices used in a particular field or occupation
repine,express discontent
replenish,fill something that had previously been emptied
replete,filled to satisfaction with food or drink
replica,"copy that is not the original, something that has been copied"
replicate,reproduce or make an exact copy of
reportorial,"Of, pertaining to or characteristic of a reporter"
repose,freedom from activity (work or strain or responsibility)
repository,a person to whom a secret is entrusted
reprehend,express strong disapproval of
reprehensible,bringing or deserving severe rebuke or censure
repress,block the action of
reprieve,"the act of reprieving, postponing or remitting punishment"
reprimand,rebuke formally
reprisal,a retaliatory action against an enemy in wartime
reproach,disgrace or shame
reprobate,a person without moral scruples
reprobation,severe disapproval
reprove,take to task
repudiate,cast off
repugnance,the relation between propositions that cannot both be true at the same time
repugnant,offensive to the mind
repulsion,"the act of repulsing or repelling an attack, a successful defensive stand"
reputable,having a good reputation
reputed,Generally supposed to be such. See Synonyms at supposed.
requiem,a song or hymn of mourning composed or performed as a memorial to a dead person
requisite,anything indispensable
requite,make repayment for or return something
rescind,cancel officially
rescission,"(law) the act of rescinding, the cancellation of a contract and the return of the parties to the positions they would have had if the contract had not been made"
resemble,"appear like, be similar or bear a likeness to"
resentment,a feeling of deep and bitter anger and ill-will
reserve,something kept back or saved for future use or a special purpose
reside,make one's home in a particular place or community
residue,something left after other parts have been taken away
resignation,acceptance of despair
resigned,"Feeling or marked by resignation, acquiescent: I like trees because they seem more resigned to the way they have to live than other things do”  ( Willa Cather)."
resilient,"recovering readily from adversity, depression, or the like"
resolute,characterized by quickness and firmness
resolution,"a formal expression by a meeting, agreed to by a vote"
resolve,reach a decision
resonant,characterized by resonance
respite,a pause from doing something (as work)
resplendent,having great beauty and splendor
respond,react verbally
responsive,"readily reacting or replying to people or events or stimuli, showing emotion"
responsiveness,responsive to stimulation
restitution,getting something back again
restive,being in a tense state
restrain,hold back
restraint,a device that retards something's motion
restrict,place limits on (extent or access)
restrictive,(of tariff) protective of national interests by restricting imports
resurgent,rising again as to new life and vigor
resurrection,a revival from inactivity and disuse
resuscitate,return to consciousness
retain,keep in one's mind
retainer,a fee charged in advance to retain the services of someone
retaliate,take revenge for a perceived wrong
retard,"lose velocity, move more slowly"
retentive,having the capacity to retain something
reticence,"the trait of being uncommunicative, not volunteering anything more than necessary"
reticent,reluctant to draw attention to yourself
reticulated,Characterized by or having the form of a grid or network.
retinue,the group following and attending to some important person
retiring,reluctant to draw attention to yourself
retort,a quick reply to a question or remark (especially a witty or critical one)
retractable,capable of being retracted
retraction,the act of pulling or holding or drawing a part back
retrench,"make a reduction, as in one's workforce"
retribution,the act of taking revenge (harming someone in retaliation for something harmful that they have done) especially in the next life
retrieve,"get or find back, recover the use of"
retroaction,An action as of a law that influences or applies to a prior time.
retroactive,descriptive of any event or stimulus or process that has an effect on the effects of events or stimuli or process that occurred previously
retrograde,get worse or fall back to a previous condition
retrogress,get worse or fall back to a previous condition
retrogression,returning to a former state
retrospect,"look back upon (a period of time, sequence of events), remember"
retrospective,concerned with or related to the past
revamp,provide (a shoe) with a new vamp
revel,take delight in
revelry,unrestrained merrymaking
revenue,the entire amount of income before any deductions are made
reverberate,have a long or continuing effect
revere,American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
reverent,feeling or showing profound respect or veneration
reverie,absentminded dreaming while awake
reverse,reversed (turned backward) in order or nature or effect
revert,go back to a previous state
revile,spread negative information about
revive,give new life or energy to
revoke,cancel officially
revulsion,intense aversion
rhapsodize,say (something) with great enthusiasm
rhetoric,study of the technique and rules for using language effectively (especially in public speaking)
rhetorical,of or relating to rhetoric
rheumy,moist damp wet (especially of air)
ribald,humorously vulgar
rider,a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it
rife,most frequent or common
rift,a narrow fissure in rock
rigor,the quality of being valid and rigorous
rigorous,demanding strict attention to rules and procedures
rime,ice crystals forming a white deposit (especially on objects outside)
risible,arousing or provoking laughter
risky,involving risk or danger
risque,Very suggestive of sexual impropriety.
rivalry,the act of competing as for profit or a prize
rivet,heavy pin having a head at one end and the other end being hammered flat after being passed through holes in the pieces that are fastened together
riveting,capable of arousing and holding the attention
roam,"move about aimlessly or without any destination, often in search of food or employment"
roan,(used of especially horses) having a brownish coat thickly sprinkled with white or grey
robust,marked by richness and fullness of flavor
rococo,fanciful but graceful asymmetric ornamentation in art and architecture that originated in France in the 18th century
rogue,a deceitful and unreliable scoundrel
roil,make turbid by stirring up the sediments of
role,A character or part played by a performer.
rood,representation of the cross on which Jesus died
roseate,of something having a dusty purplish pink color
roster,a list of names
rostrum,beaklike projection of the anterior part of the head of certain insects such as e.g. weevils
rote,memorization by repetition
rotunda,a large circular room
rotundity,the fullness of a tone of voice
round up,To collect or gather (something) together.
rout,a disorderly crowd of people
routine,a short theatrical performance that is part of a longer program
rubble,the remains of something that has been destroyed or broken up
rubicund,inclined to a healthy reddish color often associated with outdoor life
rubric,an authoritative rule of conduct or procedure
ruddy,inclined to a healthy reddish color often associated with outdoor life
rudiment,the remains of a body part that was functional at an earlier stage of life
rudimentary,not fully developed in mature animals
rue,"feel remorse for, feel sorry for, be contrite about"
rueful,feeling or expressing pain or sorrow for sins or offenses
ruffian,a cruel and brutal fellow
ruminate,chew the cuds
rummage,a jumble of things to be given away
run into,come together
runic,relating to or consisting of runes
rupture,state of being torn or burst open
rural,of or relating to the countryside as opposed to the city
ruse,a deceptive maneuver (especially to avoid capture)
rustic,characteristic of the fields or country
rusticate,give (stone) a rustic look
rusty,covered with or consisting of rust
ruthless,without mercy or pity
saccharine,overly sweet
sacerdotal,of or relating to a belief in sacerdotalism
sacrilege,"blasphemous behavior, the act of depriving something of its sacred character"
sacrilegious,grossly irreverent toward what is held to be sacred
sacrosanct,must be kept sacred
sadistic,deriving pleasure or sexual gratification from inflicting pain on another
saffron,a shade of yellow tinged with orange
saga,"a narrative telling the adventures of a hero or a family, originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account"
sagacious,skillful in statecraft or management
sagacity,the mental ability to understand and discriminate between relations
salacious,characterized by lust
salient,represented as leaping (rampant but leaning forward)
saline,containing salt
sallow,unhealthy looking
sally,a venture off the beaten path
saltatory,"Of, relating to, or adapted for leaping or dancing."
salubrious,favorable to health of mind or body
salutary,"tending to promote physical well-being, beneficial to health"
salutation,word of greeting used to begin a letter
salutatory,an opening or welcoming statement (especially one delivered at graduation exercises)
salvage,property or goods saved from damage or destruction
salver,"a tray (or large plate) for serving food or drinks, usually made of silver"
sanctimonious,excessively or hypocritically pious
sanction,"give religious sanction to, such as through on oath"
sangfroid,Self-possession or imperturbability especially under strain.
sanguinary,marked by eagerness to resort to violence and bloodshed
sanguine,a blood-red color
sap,"a watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant"
sapid,full of flavor
sapient,acutely insightful and wise
sapling,young tree
sarcasm,witty language used to convey insults or scorn
sarcophagus,a stone coffin (usually bearing sculpture or inscriptions)
sardonic,"disdainfully or ironically humorous, scornful and mocking"
sartorial,of or relating to the sartorius muscle
sate,fill to satisfaction
satellite,any celestial body orbiting around a planet or star
satiate,supplied (especially fed) to satisfaction
satiety,the state of being satisfactorily full and unable to take on more
satire,witty language used to convey insults or scorn
satiric,exposing human folly to ridicule
satirical,exposing human folly to ridicule
satrap,a governor of a province in ancient Persia
saturate,infuse or fill completely
saturnine,"Gloomy, melancholic, or sullen"
satyr,man with strong sexual desires
saunter,walk leisurely and with no apparent aim
savant,someone who has been admitted to membership in a scholarly field
savor,give taste to
scandal,a disgraceful event
scant,"work hastily or carelessly, deal with inadequately and superficially"
scanty,short underpants for women or children (usually used in the plural)
scapegoat,someone who is punished for the errors of others
scarify,break up
scatter,To cause to separate and go in different directions.
scavenger,any animal that feeds on refuse and other decaying organic matter
schedule,"make a schedule, plan the time and place for events"
schism,the formal separation of a church into two churches or the withdrawal of one group over doctrinal differences
scintilla,a tiny or scarcely detectable amount
